1,SKUID_0,数量_0,2,SKUID_1,数量_1,3,SKUID_2,数量_2,4,SKUID_3,数量_3,5,SKUID_4,数量_4,6,SKUID_5,数量_5,7,SKUID_6,数量_6,8,SKUID_7,数量_7,9,SKUID_8,数量_8,10,SKUID_9,数量_9
,14902777006281,2,,14902705030982,2,,14901004006728,2,,14901360348951,2,,14549414007364,2,,14549414161745,2,,14902807341634,2,,14954018129129,2,,14987240618604,2,,14902388011261,2
,14987240618604,1,,14901006220108,1,,14549414433422,1,,14902777006281,1,,14549414007371,1,,14901810974549,1,,14902807341863,1,,14902150664039,1,,14549414002987,1,,14902102072615,1
,14549414002987,1,,14549741465042,1,,14549414007364,1,,14987240618604,1,,14549414007388,1,,14902560380239,1,,14902807341986,1,,14549414463986,1,,14902121114044,1,,14901777001722,1
,14902102072615,3,,14549414516835,3,,14549414007371,3,,14549414002987,3,,14549414452287,3,,14549414361657,3,,14549414362449,3,,14935850351107,3,,14901085122355,3,,14901777062709,3
,14902885000683,1,,14549414516842,1,,14549414516842,1,,14902121114044,1,,14902115383555,1,,14974168900034,1,,14549414363798,1,,14571275667135,1,,14901577075343,1,,14901004006728,1
,14902388011261,1,,14549414516859,1,,14549414516859,1,,14901085122355,1,,14549741465042,1,,14902175435294,1,,14904520600494,1,,14902807341863,1,,14902110320975,1,,14549414433422,1
,14902121800060,1,,14549414007364,1,,14902410209741,1,,14901577075343,1,,14549414516835,1,,14902121800060,1,,14904520605642,1,,14902807341986,1,,14902402898564,1,,14549741465042,1
,14549414007364,1,,14549414007371,1,,14549741003725,1,,14902110320975,1,,14549414516842,1,,14549414007364,1,,"14902430886366	",1,,14549414363774,1,,14549414161745,1,,14549414516835,1
,14902115383555,2,,14902150661823,2,,14930726000172,2,,14902402898564,2,,14549414516859,2,,14901360348951,2,,"14987107614701	",2,,14549414362425,2,,14902102072615,2,,14549414516842,2
,14549741465042,2,,14902150661885,2,,14903050509505,2,,14549414161745,2,,14901820161427,2,,14902777006281,2,,14519001356038,2,,14902807351817,2,,14901777001722,2,,14549414516859,2
,14549414161424,3,,14902150663094,3,,14901810499820,3,,14901810974549,3,,14902410209741,3,,14987240618604,3,,14954018129129,3,,14904131395451,3,,14901777062709,3,,14901820161427,3
,14901810499820,1,,14549414002987,1,,14902150661823,1,,14902560380239,1,,14549741003725,1,,14549414516835,1,,14902150664039,1,,14904131529856,1,,14901004006728,1,,14538872264013,1
,14902150661823,1,,14902121114044,1,,14902115393790,1,,14549414361657,1,,14901006220108,1,,14549414516842,1,,14549414463986,1,,14962482114510,1,,14549414433422,1,,14901001397454,1
,14571275667135,1,,14901085122355,1,,14901990044056,1,,14549414361701,1,,14902705030982,1,,14549414516859,1,,14902115393790,1,,14962482114541,1,,14974168900034,1,,14954018129129,1
,14571275667159,1,,14902402898564,1,,14904123500191,1,,14902885000683,1,,14549414161424,1,,14901820161427,1,,14901990044056,1,,14549414452287,1,,14549414007364,1,,14902150664039,1
,14549414362357,2,,14549414161745,2,,14904123900540,2,,14902388011261,2,,14930726000172,2,,14930726000172,2,,14904123500191,2,,14902115383555,2,,14549414007371,2,,14549414463986,2
,"14987107614701	",2,,14901810974549,2,,14902807380602,2,,14902102072615,2,,14903050509505,2,,14903050509505,2,,14904123900540,2,,14549741465042,2,,14549414007388,2,,14902115393790,2
,"14902430886366	",1,,14901004006728,1,,14904621071568,1,,14901777001722,1,,14901810499820,1,,14901810499820,1,,14902807380770,1,,14549414516859,1,,14549414452287,1,,14935850351107,1
,14962482114510,1,,14549414433422,1,,14935850351107,1,,14901777062709,1,,14902150661823,1,,14902150661823,1,,14904621050815,1,,14901820161427,1,,14549414452287,1,,14571275667135,1
